spellID	orange	yellow	green	gray	spellName
28590	0	390	397	405	Flask of Blinding Light
28587	0	390	397	405	Flask of Fortification
28588	0	390	397	405	Flask of Mighty Restoration
28591	0	390	397	405	Flask of Pure Death
28589	0	390	397	405	Flask of Relentless Assault
28586	0	390	397	405	Super Rejuvenation Potion
28585	0	385	392	400	Transmute: Primal Earth to Life
28583	0	385	392	400	Transmute: Primal Fire to Mana
28584	0	385	392	400	Transmute: Primal Life to Earth
28582	0	385	392	400	Transmute: Primal Mana to Fire
28580	0	385	392	400	Transmute: Primal Shadow to Water
28581	0	385	392	400	Transmute: Primal Water to Shadow
47050	375	390	397	405	Assassin's Alchemist Stone
42736	375	390	397	405	Flask of Chromatic Wonder
47046	375	390	397	405	Guardian's Alchemist Stone
47049	375	390	397	405	Redeemer's Alchemist Stone
47048	375	390	397	405	Sorcerer's Alchemist Stone
28578	365	380	387	395	Elixir of Empowerment
28579	365	380	387	395	Ironshield Potion
38961	360	375	382	390	Fel Mana Potion
28575	360	375	382	390	Major Arcane Protection Potion
28571	360	375	382	390	Major Fire Protection Potion
28572	360	375	382	390	Major Frost Protection Potion
28577	360	375	382	390	Major Holy Protection Potion
28573	360	375	382	390	Major Nature Protection Potion
28576	360	375	382	390	Major Shadow Protection Potion
41458	0	360	370	380	Cauldron of Major Arcane Protection
41500	0	360	370	380	Cauldron of Major Fire Protection
41501	0	360	370	380	Cauldron of Major Frost Protection
41502	0	360	370	380	Cauldron of Major Nature Protection
41503	0	360	370	380	Cauldron of Major Shadow Protection
28570	355	370	377	385	Elixir of Major Mageblood
28565	350	365	372	380	Destruction Potion
28558	350	365	372	380	Elixir of Major Shadow Power
28564	350	365	372	380	Haste Potion
28563	350	365	372	380	Heroic Potion
28562	350	365	372	380	Major Dreamless Sleep Potion
32765	350	365	372	380	Transmute: Earthstorm Diamond
28566	350	365	372	380	Transmute: Primal Air to Fire
28567	350	365	372	380	Transmute: Primal Earth to Water
28568	350	365	372	380	Transmute: Primal Fire to Earth
29688	350	365	372	380	Transmute: Primal Might
28569	350	365	372	380	Transmute: Primal Water to Air
32766	350	365	372	380	Transmute: Skyfire Diamond
28557	345	360	367	375	Elixir of Major Defense
28556	345	360	367	375	Elixir of Major Firepower
38962	345	360	367	375	Fel Regeneration Potion
28555	340	355	362	370	Super Mana Potion
38960	335	350	357	365	Fel Strength Elixir
28554	335	350	357	365	Shrouding Potion
39639	330	345	352	360	Elixir of Ironskin
28553	330	345	352	360	Elixir of Major Agility
28552	325	340	347	355	Elixir of the Searching Eye
38070	325	340	347	355	Mercurial Stone
28551	325	340	347	355	Super Healing Potion
45061	325	335	342	350	Mad Alchemist's Potion
39637	320	335	342	350	Earthen Elixir
39638	320	335	342	350	Elixir of Draenic Wisdom
28549	320	335	342	350	Elixir of Major Frost Power
28550	320	335	342	350	Insane Strength Potion
33741	315	330	337	345	Elixir of Mastery
28546	315	330	337	345	Sneaking Potion
24266	0	315	322	330	Gurubashi Mojo Madness
28545	310	325	332	340	Elixir of Healing Power
39636	310	325	332	340	Elixir of Major Fortitude
33733	310	325	332	340	Unstable Mana Potion
28543	305	320	327	335	Elixir of Camouflage
28544	305	320	327	335	Elixir of Major Strength
17632	300	365	372	380	Alchemist's Stone
33740	300	315	322	330	Adept's Elixir
17638	300	315	322	330	Flask of Chromatic Resistance
17636	300	315	322	330	Flask of Distilled Wisdom
17634	300	315	322	330	Flask of Petrification
17637	300	315	322	330	Flask of Supreme Power
17635	300	315	322	330	Flask of the Titans
33738	300	315	322	330	Onslaught Elixir
33732	300	315	322	330	Volatile Healing Potion
22732	300	310	320	330	Major Rejuvenation Potion
25146	300	301	305	310	Transmute: Elemental Fire
17580	295	310	330	350	Major Mana Potion
17577	290	305	325	345	Greater Arcane Protection Potion
17574	290	305	325	345	Greater Fire Protection Potion
17575	290	305	325	345	Greater Frost Protection Potion
17576	290	305	325	345	Greater Nature Protection Potion
17578	290	305	325	345	Greater Shadow Protection Potion
24368	290	305	325	345	Major Troll's Blood Potion
17573	285	300	320	340	Greater Arcane Elixir
24367	285	300	320	340	Living Action Potion
17572	285	300	320	340	Purification Potion
17571	280	295	315	335	Elixir of the Mongoose
17570	280	295	315	335	Greater Stoneshield Potion
17557	275	290	310	330	Elixir of Brute Force
24366	275	290	310	330	Greater Dreamless Sleep Potion
24365	275	290	310	330	Mageblood Potion
17556	275	290	310	330	Major Healing Potion
17559	275	275	282	290	Transmute: Air to Fire
17187	275	275	282	290	Transmute: Arcanite
17566	275	275	282	290	Transmute: Earth to Life
17561	275	275	282	290	Transmute: Earth to Water
17560	275	275	282	290	Transmute: Fire to Earth
17565	275	275	282	290	Transmute: Life to Earth
17563	275	275	282	290	Transmute: Undeath to Water
17562	275	275	282	290	Transmute: Water to Air
17564	275	275	282	290	Transmute: Water to Undeath
17555	270	285	305	325	Elixir of the Sages
17554	265	280	300	320	Elixir of Superior Defense
17553	260	275	295	315	Superior Mana Potion
17552	255	270	290	310	Mighty Rage Potion
