spellID	orange	yellow	green	gray	spellName
42302	0	375	380	385	Fisherman's Feast
42305	0	375	380	385	Hot Buttered Trout
33296	350	370	380	390	Spicy Crawdad
38868	335	355	365	375	Crunchy Serpent
38867	335	355	365	375	Mok'Nathal Shortribs
42296	0	335	345	355	Stewed Trout
33295	325	345	355	365	Golden Fish Sticks
33287	325	345	355	365	Roasted Clefthoof
33289	325	345	355	365	Talbuk Steak
33288	325	345	355	365	Warp Burger
43707	325	335	345	355	Skullfish Soup
43765	325	335	345	355	Spicy Hot Talbuk
45022	325	325	325	325	Hot Apple Cider
33293	320	340	350	360	Grilled Mudfish
33294	320	340	350	360	Poached Bluefish
33286	315	335	345	355	Blackened Basilisk
33292	310	330	340	350	Blackened Sporefish
33285	310	330	340	350	Sporeling Snack
43772	300	345	355	365	Kibler's Bits
25659	300	325	337	350	Dirge's Kickin' Chimaerok Chops
33290	300	320	330	340	Blackened Trout
43761	300	320	330	340	Broiled Bloodfin
33279	300	320	330	340	Buzzard Bites
36210	300	320	330	340	Clam Bar
33291	300	320	330	340	Feltail Delight
33284	300	320	330	340	Ravager Dog
43758	300	320	330	340	Stormchops
24801	285	310	322	335	Smoked Desert Dumplings
18247	275	300	312	325	Baked Salmon
18245	275	300	312	325	Lobster Stew
18246	275	300	312	325	Mightfish Steak
22761	275	300	312	325	Runn Tum Tuber Surprise
46684	250	275	285	295	Charred Bear Kabobs
46688	250	275	285	295	Juicy Bear Burger
18243	250	275	285	295	Nightfin Soup
18244	250	275	285	295	Poached Sunscale Salmon
18240	240	265	277	290	Grilled Squid
18242	240	265	277	290	Hot Smoked Bass
18239	225	250	262	275	Cooked Glossy Mightfish
18241	225	250	262	275	Filet of Redgill
15933	225	250	262	275	Monster Omelet
15915	225	250	262	275	Spiced Chili Crab
18238	225	250	262	275	Spotted Yellowtail
22480	225	250	262	275	Tender Wolf Steak
20626	225	250	262	275	Undermine Clam Chowder
15906	200	225	237	250	Dragonbreath Chili
15910	200	225	237	250	Heavy Kodo Stew
21175	200	225	237	250	Spider Sausage
4094	175	215	235	255	Barbecued Buzzard Wing
15863	175	215	235	255	Carrion Surprise
7213	175	215	235	255	Giant Clam Scorcho
15856	175	215	235	255	Hot Wolf Ribs
15861	175	215	235	255	Jungle Stew
20916	175	215	235	255	Mithril Headed Trout
15865	175	215	235	255	Mystery Stew
15855	175	215	235	255	Roast Raptor
25954	175	215	235	255	Sagefish Delight
3400	175	215	235	255	Soothing Turtle Bisque
7828	175	190	210	230	Rockscale Cod
13028	175	175	190	205	Goldthorn Tea
3399	150	190	210	230	Tasty Lion Steak
24418	150	160	180	200	Heavy Crocolisk Stew
3376	130	170	190	210	Curiously Tasty Omelet
3398	125	175	195	215	Hot Lion Chops
6500	125	165	185	205	Goblin Deviled Clams
15853	125	165	185	205	Lean Wolf Steak
3373	120	160	180	200	Crocolisk Gumbo
3397	110	150	170	190	Big Bear Steak
3377	110	150	170	190	Gooey Spider Cake
6419	110	150	170	190	Lean Venison
2548	110	130	150	170	Succulent Pork Ribs
7755	100	140	160	180	Bristle Whisker Catfish
6418	100	140	160	180	Crispy Lizard Tail
2549	100	140	160	180	Seasoned Wolf Kabob
2547	100	135	155	175	Redridge Goulash
45695	100	100	105	110	Captain Rumsey's Lager
6501	90	130	150	170	Clam Chowder
6417	90	130	150	170	Dig Rat Stew
3372	90	130	150	170	Murloc Fin Soup
2545	85	125	145	165	Cooked Crab Claw
8238	85	125	145	165	Savory Deviate Delight
3370	80	120	140	160	Crocolisk Steak
2546	80	120	140	160	Dry Pork Ribs
25704	80	120	140	160	Smoked Sagefish
2544	75	115	135	155	Crab Cake
2543	75	115	135	155	Westfall Stew
3371	60	100	120	140	Blood Sausage
28267	60	100	120	140	Crunchy Spider Surprise
9513	60	100	120	140	Thistle Tea
33278	50	90	110	130	Bat Bites
6499	50	90	110	130	Boiled Clams
2541	50	90	110	130	Coyote Steak
6415	50	90	110	130	Fillet of Frenzy
2542	50	90	110	130	Goretusk Liver Pie
7754	50	90	110	130	Loch Frenzy Delight
7753	50	90	110	130	Longjaw Mud Snapper
7827	50	90	110	130	Rainbow Fin Albacore
6416	50	90	110	130	Strider Stew
8607	40	80	100	120	Smoked Bear Meat
21144	35	75	95	115	Egg Nog
6414	35	75	95	115	Roasted Kodo Meat
2795	25	60	80	100	Beer Basted Boar Ribs
6413	20	60	80	100	Scorpid Surprise
6412	10	50	70	90	Kaldorei Spider Kabob
2539	10	50	70	90	Spiced Wolf Meat
43779	1	50	62	75	Delicious Chocolate Cake
7751	1	45	65	85	Brilliant Smallfish
15935	1	45	65	85	Crispy Bat Wing
21143	1	45	65	85	Gingerbread Cookie
8604	1	45	65	85	Herb Baked Egg
33276	1	45	65	85	Lynx Steak
33277	1	45	65	85	Roasted Moongraze Tenderloin
7752	1	45	65	85	Slitherskin Mackerel
37836	1	30	35	40	Spice Bread
2538	0	45	65	85	Charred Wolf Meat
2540	0	45	65	85	Roasted Boar Meat
818	0	25	50	75	Basic Campfire
