spellID	orange	yellow	green	gray	spellName
27927	375	385	400	415	Enchant Ring - Stats
42974	375	385	400	415	Enchant Weapon - Executioner
27984	375	385	400	415	Enchant Weapon - Mongoose
27982	375	385	400	415	Enchant Weapon - Soulfrost
27981	375	385	400	415	Enchant Weapon - Sunfire
47051	375	380	395	410	Enchant Cloak - Steelweave
32667	0	375	385	400	Runed Eternium Rod
45765	0	0	0	375	Void Shatter
27954	370	380	395	410	Enchant Boots - Surefooted
27926	370	380	395	410	Enchant Ring - Healing Power
27977	360	370	385	400	Enchant 2H Weapon - Major Agility
34008	360	370	385	400	Enchant Boots - Boar's Speed
34007	360	370	385	400	Enchant Boots - Cat's Swiftness
27917	360	370	385	400	Enchant Bracer - Spellpower
46594	360	370	385	400	Enchant Chest - Defense
33997	360	370	385	400	Enchant Gloves - Major Spellpower
33994	360	370	385	400	Enchant Gloves - Spell Strike
27924	360	370	385	400	Enchant Ring - Spellpower
27920	360	370	385	400	Enchant Ring - Striking
27947	360	370	385	400	Enchant Shield - Resistance
28004	360	370	385	400	Enchant Weapon - Battlemaster
28003	360	370	385	400	Enchant Weapon - Spellsurge
27971	350	360	375	390	Enchant 2H Weapon - Savagery
27914	350	360	375	390	Enchant Bracer - Fortitude
34005	350	360	375	390	Enchant Cloak - Greater Arcane Resistance
34006	350	360	375	390	Enchant Cloak - Greater Shadow Resistance
33999	350	360	375	390	Enchant Gloves - Major Healing
34010	350	360	375	390	Enchant Weapon - Major Healing
27975	350	360	375	390	Enchant Weapon - Major Spellpower
27972	350	360	375	390	Enchant Weapon - Potency
32665	350	360	375	390	Runed Adamantite Rod
28028	350	360	375	390	Void Sphere
42620	350	360	367	375	Enchant Weapon - Greater Agility
46578	350	350	357	365	Enchant Weapon - Deathfrost
27960	345	355	370	385	Enchant Chest - Exceptional Stats
33992	345	355	370	385	Enchant Chest - Major Resilience
27951	340	350	365	380	Enchant Boots - Dexterity
33995	340	350	365	380	Enchant Gloves - Major Strength
27946	340	350	365	380	Enchant Shield - Shield Block
27968	340	350	365	380	Enchant Weapon - Major Intellect
27967	340	350	365	380	Enchant Weapon - Major Striking
28019	340	340	350	360	Superior Wizard Oil
27913	335	345	360	375	Enchant Bracer - Restore Mana Prime
42615	0	0	335	335	Small Prismatic Shard
28022	0	0	0	335	Large Prismatic Shard
27962	330	340	355	370	Enchant Cloak - Major Resistance
44383	330	340	355	370	Enchant Shield - Resilience
27911	325	335	350	365	Enchant Bracer - Superior Healing
27958	325	335	350	365	Enchant Chest - Exceptional Mana
34003	325	335	350	365	Enchant Cloak - Spell Penetration
27945	325	335	350	365	Enchant Shield - Intellect
34009	325	335	350	365	Enchant Shield - Major Stamina
28027	325	325	330	335	Prismatic Sphere
27950	320	330	345	360	Enchant Boots - Fortitude
27906	320	330	345	360	Enchant Bracer - Major Defense
33990	320	330	345	360	Enchant Chest - Major Spirit
27905	315	325	340	355	Enchant Bracer - Stats
27957	315	325	340	355	Enchant Chest - Exceptional Health
34004	310	320	335	350	Enchant Cloak - Greater Agility
27961	310	320	335	350	Enchant Cloak - Major Armor
33996	310	320	335	350	Enchant Gloves - Assault
27944	310	320	335	350	Enchant Shield - Tough Shield
28016	310	310	320	330	Superior Mana Oil
27948	305	315	330	345	Enchant Boots - Vitality
