spellID	orange	yellow	green	gray	spellName
46112	375	390	410	430	Lightning Etched Specs
46110	375	390	410	430	Primal-Attuned Goggles
46113	375	390	410	430	Surestrike Goggles v3.0
30315	375	385	395	405	Ornate Khorium Rifle
30334	375	385	395	405	Stabilized Eternium Scope
41307	375	375	392	410	Gyro-balanced Khorium Destroyer
30565	375	375	385	395	Foreman's Enchanted Helmet
30566	375	375	385	395	Foreman's Reinforced Helmet
30575	375	375	385	395	Gnomish Battle Goggles
30574	375	375	385	395	Gnomish Power Goggles
30314	360	370	380	390	Felsteel Boomstick
30325	360	370	380	390	Hyper-Vision Goggles
30332	360	370	380	390	Khorium Scope
30556	355	365	375	385	Rocket Boots Xtreme
41315	350	370	380	390	Gadgetstorm Goggles
41316	350	370	380	390	Living Replicator Specs
41314	350	370	380	390	Surestrike Goggles v2.0
46108	375	390	410	430	Powerheal 9000 Lens
46107	375	390	410	430	Justicebringer 3000 Specs
41311	350	370	380	390	Justicebringer 2000 Specs
46111	375	390	410	430	Annihilator Holo-Gogs
46115	375	390	410	430	Hard Khorium Goggles
46114	375	390	410	430	Mayhem Projection Goggles
40274	350	370	380	390	Furious Gizmatic Goggles
46109	375	390	410	430	Hyper-Magnified Moon Specs
46116	375	390	410	430	Quad Deathblow X44 Goggles
46106	375	390	410	430	Wonderheal XT68 Shades
44157	375	385	390	395	Turbo-Charged Flying Machine
44391	360	370	380	390	Field Repair Bot 110G
46697	355	365	375	385	Rocket Boots Xtreme Lite
44155	350	375	380	385	Flying Machine
41321	350	370	380	390	Powerheal 4000 Lens
41320	350	370	380	390	Destruction Holo-gogs
41312	350	370	380	390	Tankatronic Goggles
41317	350	370	380	390	Deathblow X11 Goggles
41319	350	370	380	390	Magnified Moon Specs
41318	350	370	380	390	Wonderheal XT40 Shades
30313	350	360	370	380	Adamantite Rifle
30563	350	360	370	380	Goblin Rocket Launcher
30349	350	360	370	380	Khorium Toolbox
30570	350	360	370	380	Nigh-Invulnerability Belt
30318	350	360	370	380	Ultra-Spectropic Detection Goggles
30547	350	350	355	360	Elemental Seaforium Charge
36954	0	350	360	370	Dimensional Ripper - Area 52
36955	0	350	360	370	Ultrasafe Transporter - Toshley's Station
30552	345	345	355	365	Mana Potion Injector
30569	340	360	370	380	Gnomish Poultryizer
30316	340	350	360	370	Cogspinner Goggles
30309	340	350	360	370	Felsteel Stabilizer
30307	340	350	360	370	Hardened Adamantite Tube
30308	340	350	360	370	Khorium Power Core
30317	340	350	360	370	Power Amplification Goggles
30560	340	340	350	360	Super Sapper Charge
30329	335	345	355	365	Adamantite Scope
39973	335	345	355	365	Frost Grenades
43676	335	335	345	355	Adamantite Arrow Maker
30347	335	335	345	355	Adamantite Shell Machine
30344	335	335	345	355	Green Smoke Flare
32814	335	335	345	355	Purple Smoke Flare
30341	335	335	345	355	White Smoke Flare
39971	335	335	340	345	Icy Blasting Primers
30551	330	330	340	350	Healing Potion Injector
30311	325	335	345	355	Adamantite Grenade
30337	325	335	345	355	Crashin' Thrashin' Robot
30568	325	335	345	355	Gnomish Flame Turret
30348	325	325	335	345	Fel Iron Toolbox
30558	325	325	335	345	The Bigger One
30306	325	325	330	335	Adamantite Frame
30312	320	330	340	350	Fel Iron Musket
30346	310	310	320	330	Fel Iron Shells
30548	305	305	315	325	Zapthrottle Mote Extractor
19831	300	320	330	340	Arcane Bomb
19830	300	320	330	340	Arcanite Dragonling
22793	300	320	330	340	Biznicks 247x128 Accurascope
24356	300	320	330	340	Bloodvine Goggles
24357	300	320	330	340	Bloodvine Lens
22795	300	320	330	340	Core Marksman Rifle
30310	300	320	330	340	Fel Iron Bomb
22704	300	320	330	340	Field Repair Bot 74A
19833	300	320	330	340	Flawless Arcanite Rifle
22797	300	320	330	340	Force Reactive Disk
23082	300	320	330	340	Ultra-Flash Shadow Reflector
30303	300	300	310	320	Elemental Blasting Powder
30304	300	300	310	320	Fel Iron Casing
30305	300	300	305	310	Handful of Fel Iron Bolts
23081	290	310	320	330	Hyper-Radiant Flame Reflector
19825	290	310	320	330	Master Engineer's Goggles
19819	290	310	320	330	Voice Amplification Modulator
19799	285	305	315	325	Dark Iron Bomb
19815	285	305	315	325	Delicate Arcanite Converter
19800	285	295	300	305	Thorium Shells
23486	0	285	295	305	Dimensional Ripper - Everlook
23489	0	285	295	305	Ultrasafe Transporter - Gadgetzan
19796	275	295	305	315	Dark Iron Rifle
26443	275	295	305	315	Firework Cluster Launcher
19814	275	295	305	315	Masterwork Target Dummy
19795	275	295	305	315	Thorium Tube
23079	275	285	290	295	Major Recombobulator
23080	275	275	285	295	Powerful Seaforium Charge
39895	275	275	280	285	Fused Wiring
26426	275	275	280	285	Large Blue Rocket Cluster
26427	275	275	280	285	Large Green Rocket Cluster
26428	275	275	280	285	Large Red Rocket Cluster
28327	275	275	280	285	Steam Tonk Controller
19794	270	290	300	310	Spellpower Goggles Xtreme Plus
23078	265	285	295	305	Goblin Jumper Cables XL
19793	265	285	295	305	Lifelike Mechanical Toad
23096	265	275	280	285	Alarm-O-Bot
23077	260	280	290	300	Gyrofreeze Ice Reflector
19790	260	280	290	300	Thorium Grenade
19792	260	280	290	300	Thorium Rifle
19791	260	280	290	300	Thorium Widget
23071	260	270	275	280	Truesilver Transformer
23129	260	260	265	270	World Enlarger
26011	250	320	330	340	Tranquil Mechanical Yeti
12624	250	270	280	290	Mithril Mechanical Dragonling
19567	250	270	280	290	Salt Shaker
23070	250	250	260	270	Dense Dynamite
23507	250	250	260	270	Snake Burst Firework
19788	250	250	255	260	Dense Blasting Powder
12758	245	265	275	285	Goblin Rocket Helmet
12622	245	265	275	285	Green Lens
12621	245	245	265	285	Mithril Gyro-Shot
12759	240	260	270	280	Gnomish Death Ray
12908	240	260	270	280	Goblin Dragon Gun
12620	240	260	270	280	Sniper Scope
12907	235	255	265	275	Gnomish Mind Control Cap
12619	235	235	255	275	Hi-Explosive Bomb
12754	235	235	255	275	The Big One
12617	230	250	260	270	Deepdive Helmet
12906	230	250	260	270	Gnomish Battle Chicken
12618	230	250	260	270	Rose Colored Goggles
12755	230	230	250	270	Goblin Bomb Dispenser
26442	225	245	255	265	Firework Launcher
12905	225	245	255	265	Gnomish Rocket Boots
8895	225	245	255	265	Goblin Rocket Boots
12616	225	245	255	265	Parachute Cloak
12615	225	245	255	265	Spellpower Goggles Xtreme
26423	225	225	237	250	Blue Rocket Cluster
26424	225	225	237	250	Green Rocket Cluster
26425	225	225	237	250	Red Rocket Cluster
12716	0	225	235	245	Goblin Mortar
12607	220	240	250	260	Catseye Ultra Goggles
12614	220	240	250	260	Mithril Heavy-bore Rifle
12903	215	235	245	255	Gnomish Harm Prevention Belt
12599	215	215	235	255	Mithril Casing
12603	215	215	235	255	Mithril Frag Bomb
12597	210	230	240	250	Deadly Scope
12897	210	230	240	250	Gnomish Goggles
12902	210	230	240	250	Gnomish Net-o-Matic Projector
12596	210	210	230	250	Hi-Impact Mithril Slugs
12594	205	225	235	245	Fire Goggles
12899	205	225	235	245	Gnomish Shrink Ray
12718	205	225	235	245	Goblin Construction Helmet
12717	205	225	235	245	Goblin Mining Helmet
12595	205	225	235	245	Mithril Blunderbuss
12760	205	205	225	245	Goblin Sapper Charge
12715	205	205	205	205	Goblin Rocket Fuel Recipe
12895	205	205	205	205	Inlaid Mithril Cylinder Plans
15633	205	205	205	205	Lil' Smoky
15628	205	205	205	205	Pet Bombling
13240	0	0	0	205	The Mortar: Reloaded
3971	200	220	230	240	Gnomish Cloaking Device
3969	200	220	230	240	Mechanical Dragonling
3972	200	200	220	240	Large Seaforium Charge
15255	200	200	220	240	Mechanical Repair Kit
12591	200	200	220	240	Unstable Trigger
23069	200	200	210	220	EZ-Thro Dynamite II
3968	195	215	225	235	Goblin Land Mine
12589	195	195	215	235	Mithril Tube
3967	190	190	210	230	Big Iron Bomb
21940	190	190	210	230	Snowmaster 9000
3966	185	205	215	225	Craftsman's Monocle
3965	185	185	205	225	Advanced Target Dummy
8243	185	185	205	225	Flash Bomb
3979	180	200	210	220	Accurate Scope
12587	175	195	205	215	Bright-Eye Goggles
3963	175	175	195	215	Compact Harvest Reaper Kit
12590	175	175	195	215	Gyromatic Micro-Adjustor
3962	175	175	195	215	Iron Grenade
26420	175	175	187	200	Large Blue Rocket
26421	175	175	187	200	Large Green Rocket
26422	175	175	187	200	Large Red Rocket
12585	175	175	185	195	Solid Blasting Powder
12586	175	175	185	195	Solid Dynamite
3961	170	170	190	210	Gyrochronatom
3960	165	185	195	205	Portable Bronze Mortar
9273	165	165	180	200	Goblin Jumper Cables
3959	160	180	190	200	Discombobulator Ray
3958	160	160	170	180	Iron Strut
3957	155	175	185	195	Ice Deflector
3955	150	175	187	200	Explosive Sheep
3956	150	175	187	200	Green Tinted Goggles
12584	150	150	170	190	Gold Power Core
23067	150	150	162	175	Blue Firework
23068	150	150	162	175	Green Firework
23066	150	150	162	175	Red Firework
9271	150	150	160	170	Aquadynamic Fish Attractor
3954	145	170	182	195	Moonsight Rifle
3953	145	145	170	195	Bronze Framework
3952	140	165	177	190	Minor Recombobulator
3950	140	140	165	190	Big Bronze Bomb
6458	135	160	172	185	Ornate Spyglass
3949	130	155	167	180	Silver-plated Shotgun
9269	125	150	162	175	Gnomish Universal Remote
3944	125	125	150	175	Flame Deflector
3942	125	125	150	175	Whirring Bronze Gizmo
26416	125	125	137	150	Small Blue Rocket
26417	125	125	137	150	Small Green Rocket
26418	125	125	137	150	Small Red Rocket
3947	125	125	135	145	Crafted Solid Shot
3945	125	125	135	145	Heavy Blasting Powder
3946	125	125	135	145	Heavy Dynamite
3939	120	145	157	170	Lovingly Crafted Boomstick
3940	120	145	157	170	Shadow Goggles
3941	120	120	145	170	Small Bronze Bomb
3978	110	135	147	160	Standard Scope
3936	105	130	142	155	Deadly Blunderbuss
3938	105	105	130	155	Bronze Tube
3937	105	105	130	155	Large Copper Bomb
3934	100	130	145	160	Flying Tiger Goggles
3933	100	130	145	160	Small Seaforium Charge
8339	100	115	122	130	EZ-Thro Dynamite
8334	100	115	122	130	Practice Lock
3973	90	110	125	140	Silver Contact
3932	85	115	130	145	Target Dummy
3928	75	105	120	135	Mechanical Squirrel
3931	75	90	97	105	Coarse Dynamite
3929	75	85	90	95	Coarse Blasting Powder
3930	75	85	90	95	Crafted Heavy Shot
3926	65	95	110	125	Copper Modulator
3977	60	90	105	120	Crude Scope
3924	50	80	95	110	Copper Tube
3925	50	80	95	110	Rough Boomstick
7430	50	70	80	90	Arclight Spanner
3923	30	60	75	90	Rough Copper Bomb
3922	30	45	52	60	Handful of Copper Bolts
3920	0	30	45	60	Crafted Light Shot
3919	1	30	45	60	Rough Dynamite
3918	1	20	30	40	Rough Blasting Powder
30343	0	0	0	0	Blue Smoke Flare
30549	0	0	0	0	Critter Enlarger
