spellID	orange	yellow	green	gray	spellName
27033	360	360	385	410	Heavy Netherweave Bandage
27032	330	330	360	390	Netherweave Bandage
23787	300	300	330	360	Powerful Anti-Venom
18630	290	290	320	350	Heavy Runecloth Bandage
18629	260	260	290	320	Runecloth Bandage
10841	240	240	270	300	Heavy Mageweave Bandage
10840	210	210	240	270	Mageweave Bandage
7929	180	180	210	240	Heavy Silk Bandage
7928	150	150	180	210	Silk Bandage
7935	130	130	165	200	Strong Anti-Venom
3278	115	115	150	185	Heavy Wool Bandage
7934	80	80	115	150	Anti-Venom
3277	80	80	115	150	Wool Bandage
3276	40	50	75	100	Heavy Linen Bandage
3275	1	30	45	60	Linen Bandage
30021	0	0	0	0	Crystal Infused Bandage
