spellID	orange	yellow	green	gray	spellName
38503	375	385	395	405	The Frozen Eye
38504	375	385	395	405	The Natural Ward
39729	375	375	387	400	Balanced Shadowsong Amethyst
39705	375	375	387	400	Bold Crimson Spinel
39712	375	375	387	400	Bright Crimson Spinel
39719	375	375	387	400	Brilliant Lionseye
39741	375	375	387	400	Dazzling Seaspray Emerald
39706	375	375	387	400	Delicate Crimson Spinel
39739	375	375	387	400	Enduring Seaspray Emerald
46777	375	375	387	400	Figurine - Crimson Serpent
46775	375	375	387	400	Figurine - Empyrean Tortoise
46776	375	375	387	400	Figurine - Khorium Boar
46779	375	375	387	400	Figurine - Seaspray Albatross
46778	375	375	387	400	Figurine - Shadowsong Panther
39714	375	375	387	400	Flashing Crimson Spinel
47053	375	375	387	400	Forceful Seaspray Emerald
39722	375	375	387	400	Gleaming Lionseye
39736	375	375	387	400	Glinting Pyrestone
39731	375	375	387	400	Glowing Shadowsong Amethyst
39725	375	375	387	400	Great Lionseye
39730	375	375	387	400	Infused Shadowsong Amethyst
39733	375	375	387	400	Inscribed Pyrestone
39742	375	375	387	400	Jagged Seaspray Emerald
39735	375	375	387	400	Luminous Pyrestone
39717	375	375	387	400	Lustrous Empyrean Sapphire
39724	375	375	387	400	Mystic Lionseye
39734	375	375	387	400	Potent Pyrestone
48789	375	375	387	400	Purified Shadowsong Amethyst
47056	375	375	387	400	Quick Lionseye
39740	375	375	387	400	Radiant Seaspray Emerald
47055	375	375	387	400	Reckless Pyrestone
39721	375	375	387	400	Rigid Lionseye
39732	375	375	387	400	Royal Shadowsong Amethyst
39711	375	375	387	400	Runed Crimson Spinel
39728	375	375	387	400	Shifting Shadowsong Amethyst
39720	375	375	387	400	Smooth Lionseye
39715	375	375	387	400	Solid Empyrean Sapphire
39727	375	375	387	400	Sovereign Shadowsong Amethyst
39716	375	375	387	400	Sparkling Empyrean Sapphire
47054	375	375	387	400	Steady Seaspray Emerald
39718	375	375	387	400	Stormy Empyrean Sapphire
39713	375	375	387	400	Subtle Crimson Spinel
39710	375	375	387	400	Teardrop Crimson Spinel
39723	375	375	387	400	Thick Lionseye
39737	375	375	387	400	Veiled Pyrestone
39738	375	375	387	400	Wicked Pyrestone
31078	370	380	390	400	Circlet of Arcane Might
31077	370	380	390	400	Coronet of the Verdant Flame
46601	370	380	390	400	Ember Skyfire Diamond
46597	370	380	390	400	Eternal Earthstorm Diamond
31080	370	380	390	400	Figurine - Dawnstone Crab
