spellID	orange	yellow	green	gray	spellName
36351	375	385	395	405	Belt of Deep Shadow
36349	375	385	395	405	Belt of Natural Power
36352	375	385	395	405	Belt of the Black Eagle
41161	375	385	395	405	Bindings of Lightning Reflexes
36355	375	385	395	405	Boots of Natural Grace
39997	375	385	395	405	Boots of Shackled Souls
36358	375	385	395	405	Boots of the Crimson Hawk
36357	375	385	395	405	Boots of Utter Darkness
41156	375	385	395	405	Bracers of Renewed Life
40000	375	385	395	405	Bracers of Shackled Souls
35576	375	385	395	405	Ebon Netherscale Belt
35577	375	385	395	405	Ebon Netherscale Bracers
35575	375	385	395	405	Ebon Netherscale Breastplate
40001	375	385	395	405	Greaves of Shackled Souls
36359	375	385	395	405	Hurricane Boots
41163	375	385	395	405	Living Earth Bindings
41164	375	385	395	405	Living Earth Shoulders
36353	375	385	395	405	Monsoon Belt
35582	375	385	395	405	Netherstrike Belt
35584	375	385	395	405	Netherstrike Bracers
35580	375	385	395	405	Netherstrike Breastplate
35590	375	385	395	405	Primalstrike Belt
35591	375	385	395	405	Primalstrike Bracers
35589	375	385	395	405	Primalstrike Vest
40006	375	385	395	405	Redeemed Soul Cinch
40005	375	385	395	405	Redeemed Soul Legguards
40003	375	385	395	405	Redeemed Soul Moccasins
40004	375	385	395	405	Redeemed Soul Wristguards
41157	375	385	395	405	Shoulderpads of Renewed Life
41162	375	385	395	405	Shoulders of Lightning Reflexes
41158	375	385	395	405	Swiftstrike Bracers
41160	375	385	395	405	Swiftstrike Shoulders
40002	375	385	395	405	Waistguard of Shackled Souls
35587	375	385	395	405	Windhawk Belt
35588	375	385	395	405	Windhawk Bracers
35585	375	385	395	405	Windhawk Hauberk
35538	370	370	377	385	Drums of Panic
351770	370	370	377	385	Greater Drums of Panic
46138	365	375	392	410	Carapace of Sun and Shadow
46137	365	375	392	410	Embrace of the Phoenix
46133	365	375	392	410	Fletcher's Gloves of the Phoenix
46134	365	375	392	410	Gloves of Immortal Dusk
46136	365	375	392	410	Leather Chestguard of the Sun
46132	365	375	392	410	Leather Gauntlets of the Sun
46139	365	375	392	410	Sun-Drenched Scale Chestguard
46135	365	375	392	410	Sun-Drenched Scale Gloves
35559	365	375	385	395	Cobrascale Gloves
35558	365	375	385	395	Cobrascale Hood
35567	365	375	385	395	Earthen Netherscale Boots
35562	365	375	385	395	Gloves of the Living Touch
35561	365	375	385	395	Hood of Primal Life
35564	365	375	385	395	Living Dragonscale Helm
35573	365	375	385	395	Netherdrake Gloves
35572	365	375	385	395	Netherdrake Helm
42731	365	375	385	395	Shadowprowler's Chestguard
35574	365	375	385	395	Thick Netherscale Breastplate
35560	365	375	385	395	Windscale Hood
35563	365	375	385	395	Windslayer Wraps
35568	365	375	385	395	Windstrike Gloves
35557	365	365	375	385	Nethercleft Leg Armor
35554	365	365	375	385	Nethercobra Leg Armor
35543	365	365	372	380	Drums of Battle
351771	365	365	372	380	Greater Drums of Battle
45117	360	370	380	390	Bag of Many Hides
42546	360	370	380	390	Cloak of Darkness
32499	360	370	380	390	Felstalker Bracer
32500	360	370	380	390	Felstalker Breastplate
32495	360	370	380	390	Heavy Clefthoof Vest
32497	355	365	375	385	Heavy Clefthoof Boots
32496	355	365	375	385	Heavy Clefthoof Leggings
35537	350	360	370	380	Blastguard Belt
35536	350	360	370	380	Blastguard Boots
35535	350	360	370	380	Blastguard Pants
35534	350	360	370	380	Enchanted Clefthoof Boots
35533	350	360	370	380	Enchanted Clefthoof Gloves
35532	350	360	370	380	Enchanted Clefthoof Leggings
35527	350	360	370	380	Enchanted Felscale Boots
35526	350	360	370	380	Enchanted Felscale Gloves
35525	350	360	370	380	Enchanted Felscale Leggings
32493	350	360	370	380	Fel Leather Boots
32494	350	360	370	380	Fel Leather Leggings
32498	350	360	370	380	Felstalker Belt
35531	350	360	370	380	Flamescale Belt
35528	350	360	370	380	Flamescale Boots
35529	350	360	370	380	Flamescale Leggings
32503	350	360	370	380	Netherfury Boots
44768	350	360	370	380	Netherscale Ammo Pouch
44359	350	360	370	380	Quiver of a Thousand Feathers
32461	350	360	370	380	Riding Crop
32487	350	360	370	380	Stylin' Adventure Hat
32488	350	360	370	380	Stylin' Crimson Hat
32489	350	360	370	380	Stylin' Jungle Hat
32485	350	360	370	380	Stylin' Purple Hat
44770	350	355	360	365	Glove Reinforcements
44970	350	355	360	365	Heavy Knothide Armor Kit
35539	350	350	357	365	Drums of Restoration
351769	350	350	357	365	Greater Drums of Restoration
35544	345	345	352	360	Drums of Speed
351768	345	345	352	360	Greater Drums of Speed
32490	340	350	360	370	Fel Leather Gloves
32501	340	350	360	370	Netherfury Belt
32502	340	350	360	370	Netherfury Leggings
35524	340	350	355	360	Arcane Armor Kit
35521	340	350	355	360	Flame Armor Kit
35522	340	350	355	360	Frost Armor Kit
35523	340	350	355	360	Nature Armor Kit
35520	340	350	355	360	Shadow Armor Kit
35540	340	340	347	355	Drums of War
351766	340	340	347	355	Greater Drums of War
32465	335	345	355	365	Felscale Breastplate
32469	335	345	355	365	Scaled Draenic Boots
35555	335	335	345	355	Clefthide Leg Armor
35549	335	335	345	355	Cobrahide Leg Armor
36079	330	350	360	370	Golden Dragonstrike Breastplate
36078	330	350	360	370	Living Crystal Breastplate
36077	330	350	360	370	Primalstorm Breastplate
32473	330	340	350	360	Thick Draenic Vest
32481	330	340	350	360	Wild Draenish Vest
32468	325	335	345	355	Scaled Draenic Vest
32458	325	335	340	345	Magister's Armor Kit
35530	325	335	340	345	Reinforced Mining Bag
32457	325	335	340	345	Vindicator's Armor Kit
32455	325	325	330	335	Heavy Knothide Leather
32464	320	330	340	350	Felscale Pants
32472	320	330	340	350	Thick Draenic Boots
32480	320	330	340	350	Wild Draenish Leggings
44343	315	325	335	345	Knothide Ammo Pouch
44344	315	325	335	345	Knothide Quiver
32471	315	325	335	345	Thick Draenic Pants
32463	310	320	330	340	Felscale Boots
32467	310	320	330	340	Scaled Draenic Gloves
32479	310	320	330	340	Wild Draenish Gloves
20855	300	320	330	340	Black Dragonscale Boots
19107	300	320	330	340	Black Dragonscale Leggings
19094	300	320	330	340	Black Dragonscale Shoulders
24124	300	320	330	340	Blood Tiger Breastplate
24125	300	320	330	340	Blood Tiger Shoulders
24654	300	320	330	340	Blue Dragonscale Leggings
28474	300	320	330	340	Bramblewood Belt
28473	300	320	330	340	Bramblewood Boots
28472	300	320	330	340	Bramblewood Helm
22926	300	320	330	340	Chromatic Cloak
23708	300	320	330	340	Chromatic Gauntlets
22727	300	320	330	340	Core Armor Kit
23709	300	320	330	340	Corehound Belt
19097	300	320	330	340	Devilsaur Leggings
24703	300	320	330	340	Dreamscale Breastplate
19104	300	320	330	340	Frostsaber Tunic
22921	300	320	330	340	Girdle of Insight
23706	300	320	330	340	Golden Mantle of the Dawn
19100	300	320	330	340	Heavy Scorpid Shoulders
22927	300	320	330	340	Hide of the Wild
28224	300	320	330	340	Icy Scale Bracers
28222	300	320	330	340	Icy Scale Breastplate
28223	300	320	330	340	Icy Scale Gauntlets
23707	300	320	330	340	Lava Belt
19095	300	320	330	340	Living Breastplate
23710	300	320	330	340	Molten Belt
20854	300	320	330	340	Molten Helm
22922	300	320	330	340	Mongoose Boots
19093	300	320	330	340	Onyxia Scale Cloak
28221	300	320	330	340	Polar Bracers
28220	300	320	330	340	Polar Gloves
28219	300	320	330	340	Polar Tunic
24123	300	320	330	340	Primal Batskin Bracers
24122	300	320	330	340	Primal Batskin Gloves
24121	300	320	330	340	Primal Batskin Jerkin
19054	300	320	330	340	Red Dragonscale Breastplate
19102	300	320	330	340	Runic Leather Armor
19091	300	320	330	340	Runic Leather Pants
19103	300	320	330	340	Runic Leather Shoulders
24849	300	320	330	340	Sandstalker Bracers
24851	300	320	330	340	Sandstalker Breastplate
24850	300	320	330	340	Sandstalker Gauntlets
22928	300	320	330	340	Shifting Cloak
24846	300	320	330	340	Spitfire Bracers
24848	300	320	330	340	Spitfire Breastplate
24847	300	320	330	340	Spitfire Gauntlets
26279	300	320	330	340	Stormshroud Gloves
22923	300	320	330	340	Swift Flight Bracers
23704	300	320	330	340	Timbermaw Brawlers
19101	300	320	330	340	Volcanic Shoulders
