spellID	orange	yellow	green	gray	spellName
29686	375	375	375	375	Smelt Hardened Adamantite
46353	375	375	375	375	Smelt Hardened Khorium
29361	375	375	375	375	Smelt Khorium
29360	350	355	367	380	Smelt Felsteel
29359	350	350	357	365	Smelt Eternium
22967	0	350	362	375	Smelt Elementium
29358	325	325	332	340	Smelt Adamantite
29356	300	300	307	315	Smelt Fel Iron
35750	300	300	300	300	Earth Shatter
35751	300	300	300	300	Fire Sunder
14891	0	300	305	310	Smelt Dark Iron
16153	250	250	270	290	Smelt Thorium
10098	230	235	242	250	Smelt Truesilver
10097	175	175	202	230	Smelt Mithril
3569	165	165	165	165	Smelt Steel
3308	155	170	177	185	Smelt Gold
3307	125	130	145	160	Smelt Iron
2658	75	115	122	130	Smelt Silver
2659	65	65	90	115	Smelt Bronze
3304	65	65	70	75	Smelt Tin
2657	0	25	47	70	Smelt Copper
