spellID	orange	yellow	green	gray	spellName
2842	0	0	0	0	Poisons
8687	0	165	190	215	Instant Poison II
2835	0	175	200	225	Deadly Poison
11400	0	285	310	335	Mind-numbing Poison III
3420	0	125	150	175	Crippling Poison
8681	0	125	150	175	Instant Poison
5763	0	150	175	200	Mind-numbing Poison
13220	0	185	210	235	Wound Poison
3421	0	275	300	325	Crippling Poison II
25347	0	300	325	350	Deadly Poison V
26786	0	340	355	370	Anesthetic Poison
26892	0	365	390	415	Instant Poison VII
2837	0	215	240	265	Deadly Poison II
11341	0	245	270	295	Instant Poison IV
13229	0	265	290	315	Wound Poison III
13230	0	305	330	355	Wound Poison IV
8691	0	205	230	255	Instant Poison III
11342	0	285	310	335	Instant Poison V
11357	0	255	280	305	Deadly Poison III
11358	0	295	320	345	Deadly Poison IV
13228	0	225	250	275	Wound Poison II
27283	0	345	370	395	Wound Poison V
27282	0	385	405	425	Deadly Poison VII
11343	0	325	350	375	Instant Poison VI
8694	0	215	240	265	Mind-numbing Poison II
26969	0	345	365	385	Deadly Poison VI
