spellID	orange	yellow	green	gray	spellName
31456	375	385	390	395	Battlecast Hood
31453	375	385	390	395	Battlecast Pants
36315	375	385	390	395	Belt of Blasting
36316	375	385	390	395	Belt of the Long Road
36317	375	385	390	395	Boots of Blasting
36318	375	385	390	395	Boots of the Long Road
41205	375	385	390	395	Bracers of Nimble Thought
26759	375	385	390	395	Ebon Shadowbag
26758	375	385	390	395	Frozen Shadoweave Robe
31433	375	385	390	395	Golden Spellthread
41206	375	385	390	395	Mantle of Nimble Thought
50194	375	385	390	395	Mycah's Botanical Bag
40060	375	385	390	395	Night's End
26763	375	385	390	395	Primal Mooncloth Bag
26762	375	385	390	395	Primal Mooncloth Robe
31432	375	385	390	395	Runic Spellthread
26781	375	385	390	395	Soulcloth Vest
40021	375	385	390	395	Soulguard Bracers
40024	375	385	390	395	Soulguard Girdle
40023	375	385	390	395	Soulguard Leggings
40020	375	385	390	395	Soulguard Slippers
26755	375	385	390	395	Spellfire Bag
26754	375	385	390	395	Spellfire Robe
31455	375	385	390	395	Spellstrike Hood
31452	375	385	390	395	Spellstrike Pants
41208	375	385	390	395	Swiftheal Mantle
41207	375	385	390	395	Swiftheal Wraps
31454	375	385	390	395	Whitemend Hood
31451	375	385	390	395	Whitemend Pants
26784	370	380	385	390	Arcanoweave Robe
37884	370	380	385	390	Flameheart Vest
46129	365	375	392	410	Hands of Eternal Light
46131	365	375	392	410	Robe of Eternal Light
46128	365	375	392	410	Sunfire Handwraps
46130	365	375	392	410	Sunfire Robe
31444	365	375	380	385	Black Belt of Knowledge
26757	365	375	380	385	Frozen Shadoweave Boots
31443	365	375	380	385	Girdle of Ruination
31450	365	375	380	385	Manaweave Cloak
26761	365	375	380	385	Primal Mooncloth Shoulders
31448	365	375	380	385	Resolute Cape
26780	365	375	380	385	Soulcloth Shoulders
26753	365	375	380	385	Spellfire Gloves
31442	365	375	380	385	Unyielding Girdle
31449	365	375	380	385	Vengeance Wrap
26783	360	370	375	380	Arcanoweave Boots
37883	360	370	375	380	Flameheart Gloves
26777	360	370	375	380	Imbued Netherweave Robe
26778	360	370	375	380	Imbued Netherweave Tunic
26756	355	365	370	375	Frozen Shadoweave Shoulders
26760	355	365	370	375	Primal Mooncloth Belt
26779	355	365	370	375	Soulcloth Gloves
26752	355	365	370	375	Spellfire Belt
26782	350	360	365	370	Arcanoweave Bracers
31437	350	360	365	370	Blackstrike Bracers
31435	350	360	365	370	Bracers of Havok
37873	350	360	365	370	Cloak of Arcane Evasion
31440	350	360	365	370	Cloak of Eternity
31438	350	360	365	370	Cloak of the Black Void
37882	350	360	365	370	Flameheart Bracers
26776	350	360	365	370	Imbued Netherweave Boots
31434	350	360	365	370	Unyielding Bracers
31441	350	360	365	370	White Remedy Cape
26751	350	350	355	360	Primal Mooncloth
36686	350	350	355	360	Shadowcloth
31373	350	350	355	360	Spellcloth
26774	345	355	360	365	Netherweave Tunic
26750	345	345	350	355	Bolt of Soulcloth
31459	340	350	355	360	Bag of Jewels
26775	340	350	355	360	Imbued Netherweave Pants
26773	340	350	355	360	Netherweave Robe
26749	340	340	345	350	Imbued Netherweave Bag
31430	335	345	350	355	Mystic Spellthread
26772	335	345	350	355	Netherweave Boots
31431	335	345	350	355	Silver Spellthread
26771	325	335	340	345	Netherweave Pants
26747	325	330	335	340	Bolt of Imbued Netherweave
26770	320	330	335	340	Netherweave Gloves
26746	315	320	330	340	Netherweave Bag
26765	310	320	325	330	Netherweave Belt
26764	310	320	325	330	Netherweave Bracers
22759	300	320	335	350	Flarecore Wraps
23665	300	315	330	345	Argent Shoulders
22866	300	315	330	345	Belt of the Archmage
27660	300	315	330	345	Big Bag of Enchantment
24093	300	315	330	345	Bloodvine Boots
24092	300	315	330	345	Bloodvine Leggings
24091	300	315	330	345	Bloodvine Vest
18455	300	315	330	345	Bottomless Bag
22870	300	315	330	345	Cloak of Warding
26087	300	315	330	345	Core Felcloth Bag
22867	300	315	330	345	Felcloth Gloves
18451	300	315	330	345	Felcloth Robe
18453	300	315	330	345	Felcloth Shoulders
20849	300	315	330	345	Flarecore Gloves
23667	300	315	330	345	Flarecore Leggings
20848	300	315	330	345	Flarecore Mantle
23666	300	315	330	345	Flarecore Robe
28210	300	315	330	345	Gaea's Embrace
28208	300	315	330	345	Glacial Cloak
28205	300	315	330	345	Glacial Gloves
28207	300	315	330	345	Glacial Vest
28209	300	315	330	345	Glacial Wrists
18454	300	315	330	345	Gloves of Spell Mastery
22868	300	315	330	345	Inferno Gloves
23663	300	315	330	345	Mantle of the Timbermaw
18445	300	315	330	345	Mooncloth Bag
18452	300	315	330	345	Mooncloth Circlet
22869	300	315	330	345	Mooncloth Gloves
22902	300	315	330	345	Mooncloth Robe
18448	300	315	330	345	Mooncloth Shoulders
18447	300	315	330	345	Mooncloth Vest
18457	300	315	330	345	Robe of the Archmage
18458	300	315	330	345	Robe of the Void
18449	300	315	330	345	Runecloth Shoulders
24902	300	315	330	345	Runed Stygian Belt
24903	300	315	330	345	Runed Stygian Boots
24901	300	315	330	345	Runed Stygian Leggings
27725	300	315	330	345	Satchel of Cenarius
28481	300	315	330	345	Sylvan Crown
28482	300	315	330	345	Sylvan Shoulders
28480	300	315	330	345	Sylvan Vest
18456	300	315	330	345	Truefaith Vestments
18446	300	315	330	345	Wizardweave Robe
18450	300	315	330	345	Wizardweave Turban
26745	300	305	315	325	Bolt of Netherweave
31460	300	300	310	320	Netherweave Net
18444	295	310	325	340	Runecloth Headband
23664	290	305	320	335	Argent Boots
18439	290	305	320	335	Brightcloth Pants
18442	290	305	320	335	Felcloth Hood
18441	290	305	320	335	Ghostweave Pants
18440	290	305	320	335	Mooncloth Leggings
23662	290	305	320	335	Wisdom of the Timbermaw
19435	290	295	310	325	Mooncloth Boots
26086	285	300	315	330	Felcloth Bag
18437	285	300	315	330	Felcloth Boots
18436	285	300	315	330	Robe of Winter Night
18438	285	300	315	330	Runecloth Pants
22813	0	285	290	295	Gordok Ogre Suit
18434	280	295	310	325	Cindercloth Pants
18424	280	295	310	325	Frostweave Pants
18423	280	295	310	325	Runecloth Boots
18420	275	290	305	320	Brightcloth Cloak
27724	275	290	305	320	Cenarion Herb Bag
18418	275	290	305	320	Cindercloth Cloak
18422	275	290	305	320	Cloak of Fire
27659	275	290	305	320	Enchanted Runecloth Bag
18419	275	290	305	320	Felcloth Pants
18416	275	290	305	320	Ghostweave Vest
18417	275	290	305	320	Runecloth Gloves
18421	275	290	305	320	Wizardweave Leggings
18415	270	285	300	315	Brightcloth Gloves
18414	270	285	300	315	Brightcloth Robe
18412	270	285	300	315	Cindercloth Gloves
18413	270	285	300	315	Ghostweave Gloves
18411	265	280	295	310	Frostweave Gloves
18410	265	280	295	310	Ghostweave Belt
18409	265	280	295	310	Runecloth Cloak
18408	260	275	290	305	Cindercloth Vest
18405	260	275	290	305	Runecloth Bag
18406	260	275	290	305	Runecloth Robe
18407	260	275	290	305	Runecloth Tunic
26085	260	275	290	305	Soul Pouch
18404	255	270	285	300	Frostweave Robe
18403	255	270	285	300	Frostweave Tunic
18402	255	270	285	300	Runecloth Belt
18560	250	290	305	320	Mooncloth
12092	250	265	280	295	Dreamweave Circlet
26403	250	265	280	295	Festival Dress
26407	250	265	280	295	Festive Red Pant Suit
50644	250	265	280	295	Haliscan Jacket
12093	250	265	280	295	Tuxedo Jacket
49677	250	255	270	285	Dress Shoes
12091	250	255	260	265	White Wedding Dress
18401	250	255	257	260	Bolt of Runecloth
44950	250	250	250	250	Green Winter Clothes
44958	250	250	250	250	Red Winter Clothes
12088	245	260	275	290	Cindercloth Boots
12086	245	260	275	290	Shadoweave Mask
50647	245	250	255	260	Haliscan Pantaloons
12089	245	250	255	260	Tuxedo Pants
12081	240	255	270	285	Admiral's Hat
